securities_trader,price,buy,sell,securities_trader_id,stock_id,date
凱基松山,19.77,0,2000,9217,00895,2023-11-15
凱基松山,13.08,0,2000,9217,00900,2023-11-15
凱基松山,13.09,0,6000,9217,00900,2023-11-15
凱基松山,13.1,0,2000,9217,00900,2023-11-15
凱基松山,14.31,0,20000,9217,00904,2023-11-15
凱基松山,10.06,0,1000,9217,00905,2023-11-15
凱基松山,21.63,0,10000,9217,00915,2023-11-15
凱基松山,21.67,49,0,9217,00915,2023-11-15
凱基松山,21.73,0,429,9217,00915,2023-11-15
凱基松山,21.77,1000,0,9217,00915,2023-11-15
凱基松山,16.04,62,0,9217,00917,2023-11-15
凱基松山,21.33,1000,0,9217,00919,2023-11-15
凱基松山,21.34,2000,500,9217,00919,2023-11-15
凱基松山,21.35,0,10000,9217,00919,2023-11-15
凱基松山,21.36,470,10000,9217,00919,2023-11-15
凱基松山,21.38,1000,0,9217,00919,2023-11-15
凱基松山,21.39,360,0,9217,00919,2023-11-15
凱基松山,21.4,2000,0,9217,00919,2023-11-15
凱基松山,21.42,0,10000,9217,00919,2023-11-15
凱基松山,21.43,0,4000,9217,00919,2023-11-15
凱基松山,21.44,0,30000,9217,00919,2023-11-15
凱基松山,21.46,1000,0,9217,00919,2023-11-15
凱基松山,16.14,0,4000,9217,00922,2023-11-15
凱基松山,16.5,100,0,9217,00923,2023-11-15
凱基松山,16.36,0,194,9217,00927,2023-11-15
凱基松山,17.86,2000,0,9217,00929,2023-11-15
凱基松山,17.89,0,2500,9217,00929,2023-11-15
凱基松山,17.9,2000,0,9217,00929,2023-11-15
凱基松山,17.92,7059,53000,9217,00929,2023-11-15
凱基松山,17.93,11000,200,9217,00929,2023-11-15
凱基松山,17.97,0,5000,9217,00929,2023-11-15
凱基松山,14.24,148,0,9217,00931B,2023-11-15
凱基松山,14.25,2000,0,9217,00931B,2023-11-15
凱基松山,15.42,0,3000,9217,00932,2023-11-15
凱基松山,15.43,0,4000,9217,00932,2023-11-15
凱基松山,15.68,5000,0,9217,00933B,2023-11-15
凱基松山,15.72,0,45000,9217,00933B,2023-11-15
凱基松山,15.75,0,1000,9217,00934,2023-11-15
凱基松山,15.81,1000,0,9217,00934,2023-11-15
凱基松山,15.82,5000,0,9217,00934,2023-11-15
凱基松山,15.83,3000,0,9217,00934,2023-11-15
凱基松山,15.26,1000,1000,9217,00936,2023-11-15
凱基松山,15.27,1000,0,9217,00936,2023-11-15
凱基松山,32.9,31,120000,9217,1101,2023-11-15
凱基松山,32.95,0,85000,9217,1101,2023-11-15
凱基松山,33.0,0,21000,9217,1101,2023-11-15
凱基松山,33.05,2000,20000,9217,1101,2023-11-15
凱基松山,33.15,0,10000,9217,1101,2023-11-15
凱基松山,40.7,0,2000,9217,1102,2023-11-15
凱基松山,41.0,0,1100,9217,1102,2023-11-15
凱基松山,70.3,0,2000,9217,1216,2023-11-15
凱基松山,70.4,0,1000,9217,1216,2023-11-15
凱基松山,70.5,0,1000,9217,1216,2023-11-15
凱基松山,11.8,0,2000,9217,1217,2023-11-15
凱基松山,12.0,1000,0,9217,1217,2023-11-15
凱基松山,13.6,0,5000,9217,1220,2023-11-15
凱基松山,53.5,0,2000,9217,1225,2023-11-15
凱基松山,53.7,0,2000,9217,1225,2023-11-15
凱基松山,37.8,0,4000,9217,1227,2023-11-15
凱基松山,37.85,0,8000,9217,1227,2023-11-15
凱基松山,37.9,0,1000,9217,1227,2023-11-15
凱基松山,38.1,0,1000,9217,1227,2023-11-15
凱基松山,38.2,0,1000,9217,1227,2023-11-15
凱基松山,64.4,1000,0,9217,1229,2023-11-15
凱基松山,64.9,0,242,9217,1229,2023-11-15
凱基松山,65.0,0,1000,9217,1229,2023-11-15
凱基松山,79.1,1000,1000,9217,1301,2023-11-15
凱基松山,79.2,0,5000,9217,1301,2023-11-15
凱基松山,66.9,0,1000,9217,1303,2023-11-15
凱基松山,19.45,80,0,9217,1304,2023-11-15
凱基松山,22.65,0,23000,9217,1305,2023-11-15
凱基松山,22.9,0,5000,9217,1305,2023-11-15
凱基松山,26.9,0,1000,9217,1307,2023-11-15
凱基松山,23.75,80,0,9217,1308,2023-11-15
凱基松山,16.1,0,1000,9217,1310,2023-11-15
凱基松山,16.3,0,5000,9217,1310,2023-11-15
凱基松山,16.0,0,1000,9217,1313,2023-11-15
凱基松山,16.1,1000,0,9217,1313,2023-11-15
凱基松山,16.2,0,1000,9217,1313,2023-11-15
凱基松山,9.85,1000,3000,9217,1314,2023-11-15
凱基松山,9.86,0,20000,9217,1314,2023-11-15
凱基松山,9.89,0,2000,9217,1314,2023-11-15
凱基松山,78.4,0,2000,9217,1319,2023-11-15
凱基松山,79.2,1000,0,9217,1319,2023-11-15
凱基松山,79.4,0,1000,9217,1319,2023-11-15
凱基松山,79.8,1000,0,9217,1319,2023-11-15
凱基松山,79.9,1000,0,9217,1319,2023-11-15
凱基松山,17.6,2000,0,9217,1324,2023-11-15
凱基松山,63.5,0,1000,9217,1341,2023-11-15
凱基松山,30.6,0,1000,9217,1402,2023-11-15
凱基松山,30.65,0,1000,9217,1402,2023-11-15
凱基松山,15.15,0,187,9217,1409,2023-11-15
凱基松山,16.8,0,2000,9217,1432,2023-11-15
凱基松山,22.8,0,2000,9217,1439,2023-11-15
凱基松山,14.95,1057,0,9217,1440,2023-11-15
凱基松山,10.4,0,5000,9217,1444,2023-11-15
凱基松山,38.65,2000,0,9217,1446,2023-11-15
凱基松山,21.4,0,2000,9217,1449,2023-11-15
凱基松山,7.22,0,5000,9217,1460,2023-11-15
凱基松山,7.24,0,3000,9217,1460,2023-11-15
凱基松山,7.25,0,8000,9217,1460,2023-11-15
凱基松山,11.05,10000,0,9217,1467,2023-11-15
凱基松山,18.05,3000,0,9217,1471,2023-11-15
凱基松山,29.0,0,5000,9217,1473,2023-11-15
凱基松山,29.05,0,5000,9217,1473,2023-11-15
凱基松山,29.1,0,5000,9217,1473,2023-11-15
凱基松山,580.0,0,90,9217,1476,2023-11-15
凱基松山,374.0,1000,15,9217,1477,2023-11-15
凱基松山,97.4,0,80000,9217,1503,2023-11-15
凱基松山,44.7,0,2000,9217,1504,2023-11-15
凱基松山,44.8,2000,1000,9217,1504,2023-11-15
凱基松山,103.0,0,2000,9217,1513,2023-11-15
凱基松山,103.5,0,1000,9217,1513,2023-11-15
凱基松山,104.0,2000,0,9217,1513,2023-11-15
凱基松山,55.7,2000,0,9217,1514,2023-11-15
凱基松山,56.2,0,2000,9217,1514,2023-11-15
凱基松山,56.3,10000,0,9217,1514,2023-11-15
凱基松山,56.4,0,1000,9217,1514,2023-11-15
凱基松山,54.6,0,1000,9217,1515,2023-11-15
凱基松山,54.8,1000,1000,9217,1515,2023-11-15
凱基松山,55.1,0,1000,9217,1515,2023-11-15
凱基松山,55.2,1000,0,9217,1515,2023-11-15
凱基松山,55.3,1000,0,9217,1515,2023-11-15
凱基松山,55.5,1000,0,9217,1515,2023-11-15
凱基松山,56.1,0,1000,9217,1515,2023-11-15
凱基松山,57.0,0,1000,9217,1515,2023-11-15
凱基松山,57.4,0,1000,9217,1515,2023-11-15
凱基松山,57.5,1000,0,9217,1515,2023-11-15
凱基松山,57.7,0,1000,9217,1515,2023-11-15
凱基松山,58.1,0,2000,9217,1515,2023-11-15
凱基松山,268.0,0,1000,9217,1519,2023-11-15
凱基松山,268.5,0,50,9217,1519,2023-11-15
凱基松山,270.0,0,1000,9217,1519,2023-11-15
凱基松山,272.5,0,1000,9217,1519,2023-11-15
凱基松山,275.5,1000,2000,9217,1519,2023-11-15
凱基松山,277.5,1000,0,9217,1519,2023-11-15
凱基松山,281.0,0,300,9217,1519,2023-11-15
凱基松山,38.95,0,1000,9217,1522,2023-11-15
凱基松山,39.2,2000,0,9217,1522,2023-11-15
凱基松山,39.4,1000,0,9217,1522,2023-11-15
凱基松山,39.55,0,3000,9217,1522,2023-11-15
凱基松山,29.0,0,1000,9217,1524,2023-11-15
凱基松山,29.35,0,2000,9217,1524,2023-11-15
凱基松山,29.4,2000,0,9217,1524,2023-11-15
凱基松山,29.9,0,6000,9217,1524,2023-11-15
凱基松山,30.0,0,2000,9217,1524,2023-11-15
凱基松山,74.7,0,1000,9217,1525,2023-11-15
凱基松山,29.7,2000,0,9217,1529,2023-11-15
凱基松山,102.5,0,3000,9217,1558,2023-11-15
凱基松山,103.0,0,4000,9217,1558,2023-11-15
凱基松山,177.5,1000,0,9217,1560,2023-11-15
凱基松山,178.0,20,0,9217,1560,2023-11-15
凱基松山,179.0,1000,0,9217,1560,2023-11-15
凱基松山,180.0,1000,0,9217,1560,2023-11-15
凱基松山,181.5,1000,0,9217,1560,2023-11-15
凱基松山,34.25,0,150,9217,1568,2023-11-15
凱基松山,34.45,1000,0,9217,1568,2023-11-15
凱基松山,73.7,1000,0,9217,1582,2023-11-15
凱基松山,74.1,0,1000,9217,1582,2023-11-15
凱基松山,34.3,1000,0,9217,1584,2023-11-15
凱基松山,34.8,0,1000,9217,1598,2023-11-15
凱基松山,36.4,0,2000,9217,1605,2023-11-15
凱基松山,36.7,0,1000,9217,1605,2023-11-15
凱基松山,37.0,0,16000,9217,1605,2023-11-15
凱基松山,37.3,28,0,9217,1605,2023-11-15
凱基松山,37.5,0,12000,9217,1605,2023-11-15
凱基松山,37.65,0,2000,9217,1605,2023-11-15
凱基松山,37.8,0,1000,9217,1605,2023-11-15
凱基松山,37.9,0,24000,9217,1605,2023-11-15
凱基松山,37.95,21000,1250,9217,1605,2023-11-15
凱基松山,38.0,0,5100,9217,1605,2023-11-15
凱基松山,38.05,0,3300,9217,1605,2023-11-15
凱基松山,38.1,0,4000,9217,1605,2023-11-15
凱基松山,38.25,24000,0,9217,1605,2023-11-15
凱基松山,19.25,0,2000,9217,1608,2023-11-15
凱基松山,32.8,0,2000,9217,1609,2023-11-15
凱基松山,32.85,0,1000,9217,1609,2023-11-15
凱基松山,32.9,1029,0,9217,1609,2023-11-15
凱基松山,32.95,0,10000,9217,1609,2023-11-15
凱基松山,33.05,1000,0,9217,1609,2023-11-15
凱基松山,24.7,5000,0,9217,1612,2023-11-15
凱基松山,24.75,10000,0,9217,1612,2023-11-15
凱基松山,27.4,1000,0,9217,1618,2023-11-15
凱基松山,27.65,0,1000,9217,1618,2023-11-15
凱基松山,27.7,0,4000,9217,1618,2023-11-15
凱基松山,27.8,0,1000,9217,1618,2023-11-15
凱基松山,28.0,3000,200,9217,1618,2023-11-15
凱基松山,28.05,0,3000,9217,1618,2023-11-15
凱基松山,28.1,2000,0,9217,1618,2023-11-15
凱基松山,28.2,0,1000,9217,1618,2023-11-15
凱基松山,18.85,1000,0,9217,1710,2023-11-15
凱基松山,18.9,1000,0,9217,1710,2023-11-15
凱基松山,19.3,0,2000,9217,1710,2023-11-15
凱基松山,8.75,0,10000,9217,1714,2023-11-15
凱基松山,8.76,0,2000,9217,1714,2023-11-15
凱基松山,8.8,0,15000,9217,1714,2023-11-15
凱基松山,8.82,0,9000,9217,1714,2023-11-15
凱基松山,8.12,0,10000,9217,1718,2023-11-15
凱基松山,8.13,0,60000,9217,1718,2023-11-15
凱基松山,8.14,0,40000,9217,1718,2023-11-15
凱基松山,8.15,0,40000,9217,1718,2023-11-15
凱基松山,8.16,0,10000,9217,1718,2023-11-15
凱基松山,8.17,0,150000,9217,1718,2023-11-15
凱基松山,8.18,0,11000,9217,1718,2023-11-15
凱基松山,8.19,0,40000,9217,1718,2023-11-15
凱基松山,8.2,0,5000,9217,1718,2023-11-15
凱基松山,8.21,0,30000,9217,1718,2023-11-15
凱基松山,8.22,0,10000,9217,1718,2023-11-15
凱基松山,16.65,60,0,9217,1721,2023-11-15
